Scenario,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized
full_grid,0.0,0.5,0,1,1.2000000000000002,0.9,23418.426398500327,5366.156444348587,110.56644888,1.2772196979924548,0.9998811537187825,1.1772380261171869
full_grid,0.0,0.5,0,1,1.3,0.5,22415.60417778619,5719.381800697257,133.37665648,1.2225266852303909,1.0656979781985447,1.4201059489125676
full_grid,0.0,0.5,0,1,1.3,0.55,21939.12765819983,5642.533733222064,121.47257567675287,1.1965400887746378,1.0513788029816018,1.293359212180851
full_grid,0.0,0.5,0,1,1.3,0.6,21640.76579423332,5585.047225846796,113.1456801454194,1.1802677038029397,1.0406672861047166,1.2046999655622848
full_grid,0.0,0.5,0,1,1.3,0.65,21479.192480161724,5542.092186032173,107.56631700591576,1.1714556420576048,1.0326634317234091,1.1452946168703964
full_grid,0.0,0.5,0,1,1.3,0.7,21423.407492918537,5510.045384743593,104.11213329516431,1.1684131795391233,1.0266921200447925,1.1085167655901718
full_grid,0.0,0.5,0,1,1.3,0.75,21436.627606420458,5481.823330147407,102.3162792981221,1.169134192517836,1.0214334771403972,1.0893957063892277
full_grid,0.0,0.5,0,1,1.3,0.8,21585.760597825876,5456.967149114672,102.12772063901564,1.1772677703681282,1.0168020007334377,1.0873880591698193
full_grid,0.0,0.5,0,1,1.3,0.8500000000000001,22607.62385189054,5437.9636866575265,106.05105037685573,1.23299926378861,1.0132610670757332,1.129161065386149
full_grid,0.0,0.5,0,1,1.3,0.9,24668.82372996624,5423.933014661436,114.56233368000001,1.3454152323502944,1.0106467183051757,1.2197835503896461
full_grid,0.0,0.75,0,2,0.8,0.5,19382.995169511403,5587.1467462959645,121.47783976,1.0571309453216684,1.0410584917936938,1.2934152606388953
full_grid,0.0,0.75,0,2,0.8,0.55,18903.1101630075,5510.490159169176,109.57567507550283,1.0309584530863543,1.026774995296457,1.1666889254654986
full_grid,0.0,0.75,0,2,0.8,0.6,18601.529661123448,5453.147118425589,101.25452790041939,1.0145105265270604,1.016090210696704,1.0780908835218923
full_grid,0.0,0.75,0,2,0.8,0.65,18436.927558134317,5410.299490687575,95.68474535466576,1.005533277386095,1.0081063705121864,1.0187875426216038
full_grid,0.0,0.75,0,2,0.8,0.7,18378.303630973598,5378.333017924995,92.24397447516428,1.0023359816639477,1.0021500265260117,0.9821525022496188
full_grid,0.0,0.75,0,2,0.8,0.75,18389.339883454264,5350.174370671533,90.46536554687208,1.0029378888467988,0.9969031983735073,0.9632150570735545
full_grid,0.0,0.75,0,2,0.8,0.8,18535.215297198927,5325.368573613012,90.29788419401561,1.0108938013712805,0.992281110061507,0.9614318269956655
full_grid,0.0,0.75,0,2,0.8,0.8500000000000001,19537.880203840123,5306.403966651952,94.24612347560573,1.0655782343667404,0.9887474163862102,1.0034700534701548
full_grid,0.0,0.75,0,2,0.8,0.9,21560.400097196347,5292.403460206581,102.78614856,1.1758846317061276,0.9861386883920819,1.0943985618484515
full_grid,0.0,0.75,0,2,0.9,0.5,19318.37477584367,5576.3093508705215,122.00817495999999,1.0536066077645667,1.0390391493548965,1.2990619172002005
full_grid,0.0,0.75,0,2,0.9,0.55,18838.138550150037,5499.6719368530685,110.10601027550284,1.0274149603537597,1.0247592254017854,1.1723355820268038
full_grid,0.0,0.75,0,2,0.9,0.6,18536.206829076255,5442.3432099824995,101.78486310041937,1.0109478786189725,1.0140771079199251,1.0837375400831972
full_grid,0.0,0.75,0,2,0.9,0.65,18371.2535068974,5399.506235794635,96.21508055466575,1.0019514743025142,1.0060952528217773,1.024434199182909
full_grid,0.0,0.75,0,2,0.9,0.7,18312.278360546952,5367.547655608152,92.77430967516429,0.998735023404874,1.0001403794669892,0.9877991588109241
