Sample_ID,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Weight_kg,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_vs_S2_%,Carbon_vs_S2_%,Time_vs_S2_%,NZ_feasible,Total_constraint_penalty,Factory_repetition_score,Carbon_intensity_kgCO2e_m2
58,0.5901181802176918,0.09689340814585351,2,0,1.1397682779600022,0.5247544086582907,2199.2122590271624,20181.037540072146,5567.690440854853,119.5153767320582,1.100655451117585,1.037433179461987,1.2725202592642058,10.0655451117585,3.74331794619871,27.252025926420576,True,0.0,0.7243978986743431,56.64439059999646
59,0.7305245588218751,0.9429544865027749,2,2,1.190347817351896,0.5036834502866968,2216.2594673463946,21033.08500832713,5645.055285272901,125.44779160897562,1.147125345873176,1.0518486462297256,1.335684668093056,14.712534587317606,5.184864622972563,33.568466809305605,True,0.0,0.7689274291141811,57.431482575111914
60,0.5135768009162689,0.386796806595659,2,1,1.0027630755625454,0.7046602703701729,2176.1558587334057,18151.232451852815,5331.202245456236,91.93526554689669,0.9899517258696298,0.9933681038145801,0.9788655748585354,-1.0048274130370238,-0.6631896185419928,-2.1134425141464575,True,0.0,0.7396559722769644,54.2384145755121
61,0.7845316642393513,0.9546496851716771,3,2,0.9118486642974033,0.6282775604069636,2194.603826198173,18456.915819421956,5423.1084940011115,96.42448454760664,1.0066234189955598,1.0104930845679452,1.0266637936558067,0.6623418995559849,1.0493084567945177,2.6663793655806733,True,0.0,0.7695429658862286,55.17344742197851
62,0.9450975621205462,0.27084114485932986,3,1,1.0647845976071624,0.8457442416545549,2197.5969594749954,19951.86460485531,5334.3562009515545,95.80097942747699,1.0881565674554259,0.9939557834120987,1.020025125738634,8.815656745542588,-0.604421658790133,2.002512573863391,True,0.0,0.7335530427118946,54.27050218686723
63,0.4927842848573519,0.6613700731043479,2,2,1.1119326319488934,0.7543310815599169,2186.2859669419645,19116.34586957181,5341.819523328323,93.04933214571346,1.0425881347782342,0.995346431535397,0.9907274152001527,4.25881347782342,-0.4653568464602964,-0.9272584799847272,True,0.0,0.7541071968300535,54.34643229691453
64,0.4904562243981478,0.8876661063893903,2,2,1.0152083406623342,0.8565404185024001,2176.624560962349,19710.20057651151,5281.416411999053,95.30121292772104,1.0749764309234224,0.9840914610047258,1.0147039443707604,7.497643092342243,-1.5908538995274224,1.4703944370760391,True,0.0,0.7660175143713714,53.73190505838779
65,0.19076860944184715,0.025913273930744773,0,0,1.0204219538569492,0.5461777998390903,2192.585172845003,19003.828354867695,5510.033458832111,112.78616920515653,1.0364515317587224,1.0266898978780974,1.2008721321284557,3.64515317587224,2.668989787809739,20.08721321284557,True,0.0,0.7206621021367059,56.057801843813444
66,0.014312994778349542,0.00803684791606917,0,0,0.981050123538109,0.5268912590452621,2195.59544898567,19067.398081531937,5542.921338141228,117.07287155008515,1.0399185668920807,1.0328179284429901,1.2465140882391448,3.991856689208073,3.281792844299014,24.65140882391448,True,0.0,0.7197212376096177,56.39239549649237
67,0.37960093362580477,0.3135053768588,1,1,1.112691712048227,0.8559339042296896,2188.0101937141408,20541.386932329155,5317.782341721213,98.87236234615358,1.1203085795609091,0.9908675600886324,1.0527271687296058,12.030857956090912,-0.9132439911367585,5.272716872960581,True,0.0,0.7357985286066036,54.101883588910724
68,0.667400291810337,0.384061485386316,2,1,0.8613123750492584,0.867288301590992,2168.2761110113647,19908.047099300016,5261.4603685088205,95.38178929285814,1.0857668005146506,0.9803730319958791,1.0155618679271972,8.576680051465058,-1.9626968004120893,1.556186792719716,True,0.0,0.7395120080027886,53.528876902584344
69,0.6883088944542528,0.23607800417391378,2,1,1.2174398721492423,0.673327619615624,2208.8872746481293,20270.770883995214,5446.435549338606,100.45165479958195,1.105549426164201,1.0148396374956519,1.0695424246175256,10.554942616420092,1.483963749565187,6.954242461752558,True,0.003342642161938145,0.7317234037284517,55.410771470095284
70,0.23643206841459635,0.21093946451647386,1,1,0.8458918493937242,0.6412949647273926,2192.5603171153916,18413.477862163196,5410.698514573215,96.93481456111284,1.004254352274023,1.0081807210212097,1.0320974482938465,0.42543522740230433,0.8180721021209703,3.209744829384653,True,0.0,0.7304003226938495,55.04719117093166
71,0.6304744215535029,0.9202124908511106,2,2,0.8353416781290729,0.6847553327254676,2190.9783194951606,18330.3375786893,5375.997180601622,91.42824724907236,0.9997199567539067,1.001714787683832,0.973467181166939,-0.028004324609332,0.1714787683831931,-2.6532818833061023,True,0.0,0.7677304819746198,54.69414785131671
72,0.09017395038787829,0.37363746584598523,0,1,1.099520873094504,0.7720010520246567,2198.1352635204335,19171.183619321837,5361.03197830828,94.43081367629283,1.0455789358244907,0.9989263069733113,1.0054365119166593,4.5578935824490685,-0.10736930266886935,0.5436511916659281,True,0.0,0.7389633753954028,54.54189535575916
73,0.7070452895292677,0.7592145375579934,2,2,0.8992068773774518,0.839843142191158,2165.789347580795,18994.918689565602,5259.893033299057,91.26996741234314,1.035965606708392,0.9800809889005919,0.9717819227141917,3.5965606708391995,-1.991901109940808,-2.8218077285808274,True,0.0,0.7592569054855084,53.51293119784984
74,0.6146129644789584,0.7126974204463503,2,2,0.9247349132301996,0.8736592875250326,2162.34162925272,20083.958596761135,5246.568140150832,96.35638167268287,1.0953608537544992,0.977598148589766,1.0259386795288696,9.536085375449922,-2.2401851410233986,2.5938679528869635,True,0.0,0.756808636163843,53.377366826911974
75,0.7177189207828379,0.247150730833994,2,1,1.2454164794450002,0.7713890789012503,2211.043833125646,20622.409868458926,5407.074541274768,97.79223842027922,1.1247274968806809,1.0075054625489164,1.0412267273991773,12.472749688068085,0.7505462548916375,4.122672739917732,True,0.00870482522695841,0.7323061788158243,55.010321707511984
76,0.6159728468259122,0.731568949791206,2,2,1.2362411353916734,0.6451014092425934,2208.0158999802993,20499.04881023428,5466.49822153634,102.66136871237903,1.11799949684991,1.0185779347353603,1.093069989003791,11.799949684991006,1.857793473536029,9.306998900379092,True,0.006946217616737418,0.7578018745504144,55.61488444162637
77,0.9121891549111867,0.35232795773098696,3,1,1.1619835278547608,0.8412728703759997,2206.7704417183895,20728.938267461806,5366.693565843261,98.08817763615124,1.1305374589715065,0.9999812360897219,1.0443776913839387,13.053745897150648,-0.0018763910278107865,4.4377691383938656,True,0.0,0.7378418223367186,54.599495033606615
78,0.2903853866068327,0.41206830220138985,1,1,0.950298652100201,0.6056808624231227,2183.464289606243,18420.739180496857,5419.845106117548,100.83897684142856,1.0046503779783693,1.0098850143270028,1.0736663721679263,0.46503779783693133,0.9885014327002839,7.366637216792626,True,0.0,0.7409860509930557,55.140246470898425
