R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,N_panel_classes,N_truss_types,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Panel_lift_mass_kg,Factory_repetition_score,Carbon_intensity_kgCO2e_m2,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized
0.0,0.0,0,0,4.0,17.0,1.1,0.75,19234.47618336247,5391.382923850738,95.92853240062212,1.049030854760185,1.0045816281999986,1.0213832249798758,1.049030854760185,1.0045816281999986,1.0213832249798758,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.92899731555556,0.7192982456140351,54.85067883297458,5391.382923850738,1.0045816281999986
0.0,0.0,0,0,4.0,17.0,1.1,0.8,19378.92611712162,5366.553143874325,95.69781912901561,1.0569090229014357,0.9999550711275624,1.0189267434774278,1.0569090229014357,0.9999550711275624,1.0189267434774278,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.86496878222223,0.7192982456140351,54.59806641307863,5366.553143874325,0.9999550711275624
0.0,0.0,0,0,4.0,17.0,1.1,0.85,20384.972869698206,5347.567219982823,99.57132977935571,1.1117778987014957,0.9964174054478665,1.0601693091774385,1.1117778987014957,0.9964174054478665,1.0601693091774385,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.800940248888885,0.7192982456140351,54.404908028962915,5347.567219982823,0.9964174054478665
0.0,0.0,0,0,4.0,17.0,1.1,0.9,22416.86222408851,5333.547121795818,108.02512952000002,1.2225952979326693,0.9938050269054487,1.1501797474313373,1.2225952979326693,0.9938050269054487,1.1501797474313373,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.73691171555556,0.7192982456140351,54.26227080327818,5333.547121795818,0.9938050269054487
0.0,0.0,0,0,4.0,17.0,1.2,0.5,21277.585124625,5678.895284435148,130.54781568,1.1604601600653492,1.0581540862136503,1.3899863331220117,1.1604601600653492,1.0581540862136503,1.3899863331220117,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.30036280888889,0.7192982456140351,57.77576287424356,5678.895284435148,1.0581540862136503
0.0,0.0,0,0,4.0,17.0,1.2,0.55,20799.952903266883,5602.099489543103,118.63990263925287,1.1344105326850251,1.0438446509980077,1.263198793273655,1.1344105326850251,1.0438446509980077,1.263198793273655,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.30036280888889,0.7192982456140351,56.99446027696153,5602.099489543103,1.0438446509980077
0.0,0.0,0,0,4.0,17.0,1.2,0.6,20500.055639528615,5544.650984916052,110.3015103954194,1.1180544084048265,1.0331402152101898,1.1744171373051688,1.1180544084048265,1.0331402152101898,1.1744171373051688,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.30036280888889,0.7192982456140351,56.40999252142648,5544.650984916052,1.0331402152101898
0.0,0.0,0,0,4.0,17.0,1.2,0.65,20336.56722768527,5501.722975026697,104.70298606841575,1.1091378989670622,1.0251413973411685,1.1148077730300807,1.1091378989670622,1.0251413973411685,1.1148077730300807,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.30036280888889,0.7192982456140351,55.97325290996925,5501.722975026697,1.0251413973411685
0.0,0.0,0,0,4.0,17.0,1.2,0.7,20278.487444670332,5469.694704049689,101.22197669516427,1.105970280372221,1.0191735384335445,1.0777442999333766,1.105970280372221,1.0191735384335445,1.0777442999333766,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.30036280888889,0.7192982456140351,55.64740471299484,5469.694704049689,1.0191735384335445
0.0,0.0,0,0,4.0,17.0,1.2,0.75,20289.333046567528,5441.4853868494565,99.3916325606221,1.106561789645473,1.013917268900536,1.0582560126826737,1.106561789645473,1.013917268900536,1.0582560126826737,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.2619456888889,0.7192982456140351,55.360409665582715,5441.4853868494565,1.013917268900536
0.0,0.0,0,0,4.0,17.0,1.2,0.8,20435.477959137686,5416.637269999826,99.16091928901561,1.1145324003910329,1.009287295100664,1.055799531180226,1.1145324003910329,1.009287295100664,1.055799531180226,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.19791715555556,0.7192982456140351,55.107610690593596,5416.637269999826,1.009287295100664
0.0,0.0,0,0,4.0,17.0,1.2,0.85,21449.52639861297,5397.637681287311,103.0344299393557,1.1698376809242834,1.0057470832415671,1.0970420968802366,1.1698376809242834,1.0057470832415671,1.0970420968802366,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.13388862222222,0.7192982456140351,54.91431328375973,5397.637681287311,1.0057470832415671
0.0,0.0,0,0,4.0,17.0,1.2,0.9,23497.108547325955,5383.60747974057,111.48822968000002,1.2815109508994778,1.003132822130295,1.1870525351341354,1.2815109508994778,1.003132822130295,1.1870525351341354,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,43.0698600888889,0.7192982456140351,54.77157326883744,5383.60747974057,1.003132822130295
0.0,0.0,0,0,4.0,17.0,1.3,0.5,22490.774568726883,5736.990726389005,134.54370047999998,1.2266264100531226,1.0689790664633039,1.4325318573944705,1.2307930767197892,1.0714790664633038,1.4450318573944705,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.68453400888889,0.7192982456140351,58.36681242002406,5736.990726389005,1.0689790664633039
0.0,0.0,0,0,4.0,17.0,1.3,0.55,22014.722833722542,5660.108646453634,122.63578743925287,1.2006629809625171,1.054653553671548,1.3057443175461143,1.2048296476291838,1.057153553671548,1.3182443175461143,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.68453400888889,0.7192982456140351,57.5846319787331,5660.108646453634,1.054653553671548
0.0,0.0,0,0,4.0,17.0,1.3,0.6,21716.40605633805,5602.595711244061,114.2973951954194,1.1843930549720372,1.0439371124705719,1.2169626615776281,1.1885597216387038,1.0464371124705718,1.229462661577628,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.68453400888889,0.7192982456140351,56.99950872140216,5602.595711244061,1.0439371124705719
0.0,0.0,0,0,4.0,17.0,1.3,0.65,21554.49813084848,5559.619730122471,108.69887086841577,1.1755627438239908,1.0359293560751526,1.1573532973025402,1.1797294104906575,1.0384293560751525,1.1698532973025402,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.68453400888889,0.7192982456140351,56.56228106175956,5559.619730122471,1.0359293560751526
0.0,0.0,0,0,4.0,17.0,1.3,0.7,21497.998834187325,5527.55590019383,105.21786149516429,1.172481323518869,1.0299548714334579,1.1202898242058361,1.1766479901855356,1.0324548714334578,1.132789824205836,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.68453400888889,0.7192982456140351,56.236071096262464,5527.55590019383,1.0299548714334579
0.0,0.0,0,0,4.0,17.0,1.3,0.75,21510.224108468632,5499.319155752921,103.38751736062211,1.1731480788703919,1.024693491355996,1.1008015369551332,1.1773147455370585,1.027193491355996,1.1133015369551331,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.64611688888888,0.7192982456140351,55.948797010468,5499.319155752921,1.024693491355996
0.0,0.0,0,0,4.0,17.0,1.3,0.8,21658.324765820733,5474.449880972656,103.15680408901561,1.1812253541593858,1.0200595751783137,1.0983450554526852,1.1853920208260524,1.0225595751783136,1.1108450554526852,True,None,OCI_gt_1.20,0.004166666666666674,0.0025000000000000044,0.012500000000000022,0.0191666666666667,2.1,2.7,43.58208835555556,0.7192982456140351,55.69578277960216,5474.449880972656,1.0200595751783137
