Solution_ID,OC_original,OC_fixed,Cost_abs_fixed,Carbon_abs_fixed,Time_abs_fixed,Cost_norm_fixed,Carbon_norm_fixed,Time_norm_fixed,Dominates_S2_fixed
P53,1.0,1.0,18040.955488216045,5306.313674146764,90.21234900034341,0.9839373204695855,0.9887305920958274,0.960521105130378,True
P54,1.0,1.0,18040.955488216045,5306.313674146764,90.21234900034341,0.9839373204695855,0.9887305920958274,0.960521105130378,True
P55,1.0,1.0,18040.954169073906,5306.263727156493,90.21093275086614,0.9839372485247718,0.9887212854245114,0.9605060258476842,True
P56,1.0,1.0,18040.99738163659,5306.218718310228,90.20136765188752,0.983939605298678,0.9887128988823751,0.9604041830341068,True
P57,1.0,1.0,18040.986382379375,5306.166251069802,90.20372407435401,0.9839390054091833,0.9887031226103946,0.9604292726536184,True
P58,1.0,1.0,18040.99056023658,5306.213067808083,90.20348335135706,0.9839392332657193,0.9887118460188102,0.9604267095952165,True
P59,1.0,1.0,18041.00288816806,5306.162271627254,90.20003039495488,0.9839399056199011,0.9887023811169912,0.9603899448115019,True
P60,1.0,1.0,18041.026170475292,5306.061350254688,90.19393713702647,0.9839411754157835,0.9886835763394034,0.9603250678528138,True
P61,1.0,1.0,18041.04038495536,5306.011248938071,90.19124711545842,0.9839419506606112,0.9886742409123094,0.9602964262918968,True
P62,1.0,1.0,18041.043708945574,5306.010512791754,90.19053766283952,0.9839421319480174,0.9886741037454496,0.9602888725121638,True
P63,1.0,1.0,18041.043708945574,5306.010512791754,90.19053766283952,0.9839421319480174,0.9886741037454496,0.9602888725121638,True
P64,1.0,1.0,18041.056336662732,5305.962786795475,90.18870050707649,0.9839428206522377,0.9886652109141062,0.9602693116992224,True
P65,1.0,1.0,18041.090406963613,5305.911072802161,90.17948504688029,0.9839446788154917,0.9886555749953932,0.9601711916069066,True
P66,1.0,1.0,18041.108784794564,5305.8595316097735,90.18185573845314,0.9839456811256939,0.9886459712748453,0.9601964331543743,True
P67,1.0,1.0,18041.11512560182,5305.809930408806,90.17575914021496,0.9839460269475605,0.988636729034787,0.9601315206302892,True
P68,1.0,1.0,18041.134574448162,5305.763421602378,90.1723338455117,0.983947087669969,0.9886280630036134,0.9600950503699508,True
P69,1.0,1.0,18041.163545875403,5305.759479485732,90.16635239848348,0.9839486677452874,0.9886273284651815,0.960031363899379,True
P70,1.0,1.0,18041.189259982784,5305.70811339681,90.16573299867758,0.9839500701693404,0.9886177573718327,0.960024768942118,True
P71,1.0,1.0,18041.18630325635,5305.822901748156,90.16471962360438,0.983949908912167,0.9886391459970745,0.9600139791981859,True
P72,1.0,1.0,18041.21646355431,5305.608491062727,90.15495620696973,0.9839515538274144,0.98859919464535,0.959910024830079,True
P73,1.0,1.0,18041.21956711592,5305.558562144569,90.15392946474131,0.9839517230928448,0.9885898913414286,0.9598990927615667,True
P74,1.0,1.0,18041.238992405495,5305.508351834192,90.15087584239112,0.9839527825304886,0.988580535605421,0.959866579821299,True
